Modelo,Descripcion,Unidad,Stock_Disponible
18051,"DYMO 18051 TUBING, HEAT SHRINK 6mmX1.5m, WHITE",Pieza,19
3SU1801-2GA00-2AA1,Boton Finish/ start,Pieza,0
467-80060,467-80060 FOLDING TORQUE ARM 10NM 600MM REACH ASG MODEL# FTA010-600.,Pieza,0
467-90078,467-90078 BALANCER 1-2KG 1600MM LENGTH.,Pieza,0
467-90113,467-90113 SD 2500 TOOL HOLDER FTA 10-15.,Pieza,0
476-ASG-NW2500,X-PAQ NETWORK MODULE.,Pieza,0
476-ASG-SD2500-20PL-SY,"XPAQ SYSTEM, 20 LB IN PUSH/LEVER START.",Pieza,0
500-009,"PLUG DB9 PARA SOLDAR, SIN CUBIERTA",Pieza,0
500-109,JACK DB9 PARA SOLDAR. CONECTOR DB9 HEMBRA,Pieza,0
500-409,"Cubierta de plástico (Concha), para conector DB9",Pieza,0
506-040,"Cable jack a jack DB9 Null Modem, de 3 m",Pieza,0
57-30140,Conector macho DC 14pines,Pieza,0
57-30240,Conector macho DDK 24 pines,Pieza,0
57-30360,Conectores para alimentacion macho DC 36 pines,Pieza,0
57-40140,57 Series Soldering/DIP-Type Connector hembra 14 pines,Pieza,0
57-40240,SP57 Series Soldering/DIP-Type Connector hembra 24 pines,Pieza,0
57-40360,57 Series Soldering/DIP-Type Connector hembra 36 pines,Pieza,0
A22NW-2BM-TGA-G100-GC,Switch de encendido gabinete,Pieza,0
AE34144,Terminal de Ojo de cal 18-22 1/8,Pieza,0
AE36195,Terminal espada,Pieza,0
AMPF-3,Porta fusible Americano de cartuch,Pieza,0
BNC230,"Cubierta / Tapa Antipolvo, Cubierta Antipolvo, Bloques de Terminales BNH/BN, PC (Policarbonato) (1000mm X pz)",Pieza,0
BNE15W,"Cubierta de Extremo, Para Usarse con Clemas BNH10W, BNH15MW y BNH15LW",Pieza,0
BNH15MW,"Bloque de Terminal c/Montaje en Riel DIN, 2 Posiciones, 22 AWG, 14 AWG, 2 mm², Tornillo, 10 A",Pieza,0
BNJ26FWB,"Jumper (Bus bar), Puente, Bloques de terminales BN1U-20W, 6 Posiciones, 8 mm, Serie BNH",Pieza,0
BNL6,"Accesorio para Conector, Tope de Riel DIN, Bloques de Terminales de Alimentaci&#243;n serie BN",Pieza,0
BNM7,"Marcador de Bloque de Terminales, Marcador de Bloque de Terminales (9.5mm X 1000mm)",Pieza,0
Conector AC,Conector de alimentación electrica,Pieza,0
DNR274-200,RIEL DIN (2000mm x pieza),Pieza,0
FA-0.75-BK-100,Cable Calibre 18 Negro,Metro,0
FA-0.75-R-100,Cable Calibre 18 Rojo,Metro,0
FAME 4,Fusible 32mm 4A,Pieza,0
FJCU15A-PS-4,Cable de alimentacion electrica,Pieza,0
ICUSB232V2,Cable de 0.3m USB a Puerto Serial RS232 DB9.,Pieza,0
IES208,Sensor inductivo,Pieza,0
KD-210-20-H,Ducto de cableado (Canaleta) (2 mts),Pieza,0
KV-7000C,Unidad de comunicación/expación PLC,Pieza,0
KV-8000,PLC,Pieza,0
KV-B16RC,Unidad de comunicación/expación PLC,Pieza,0
KV-B16XC,Unidad de comunicación/expación PLC,Pieza,0
KV-L21V,Unidad de comunicación/expación PLC,Pieza,0
KV-M16G,Tarjeta de memoria PLC/Sistema de vision/HMI etc. SD 16 GB,Pieza,0
KV-N1,Unidad de comunicación/expación PLC,Pieza,0
KV-N10L,Unidad de comunicación/expación PLC,Pieza,0
KV-N40DR,PLC,Pieza,0
KV-NC1EP,Unidad de comunicación/expación PLC,Pieza,0
KV-XLE02,Unidad de comunicación/expación PLC,Pieza,0
LPPG8025BU,"BOTA PARA CONECTOR PLUG RJ45 CAT6 TVC , COLOR AZUL (100 PIEZAS)",Pieza,0
NARVCTF-0.5-3-100,Cable multiconductor. NARVCTF PSE Compliant (NARVCTF-0.5-3-100),Metro,0
